"";"X";"mpg";"hp";"cyl";"x_sub_x_bar";"y_sub_y_bar";"pow_x_sub_x_bar";"v_mul_xy"
"1";"Mazda RX4";21;110;6;-27,551724137931;0,141379310344828;759,097502972652;-3,89524375743164
"2";"Mazda RX4 Wag";21;110;6;-27,551724137931;0,141379310344828;759,097502972652;-3,89524375743164
"3";"Datsun 710";22,8;93;4;-44,551724137931;1,94137931034483;1984,85612366231;-86,4917954815696
"4";"Hornet 4 Drive";21,4;110;6;-27,551724137931;0,541379310344826;759,097502972652;-14,915933412604
"5";"Hornet Sportabout";18,7;175;8;37,448275862069;-2,15862068965517;1402,37336504162;-80,8366230677765
"6";"Valiant";18,1;105;6;-32,551724137931;-2,75862068965517;1059,61474435196;89,7978596908442
"8";"Merc 240D";24,4;62;4;-75,551724137931;3,54137931034483;5708,06302021403;-267,557312722949
"9";"Merc 230";22,8;95;4;-42,551724137931;1,94137931034483;1810,64922711058;-82,60903686088
"10";"Merc 280";19,2;123;6;-14,551724137931;-1,65862068965517;211,752675386445;24,135790725327
"11";"Merc 280C";17,8;123;6;-14,551724137931;-3,05862068965517;211,752675386445;44,5082045184305
"12";"Merc 450SE";16,4;180;8;42,448275862069;-4,45862068965517;1801,85612366231;-189,260760998811
"13";"Merc 450SL";17,3;180;8;42,448275862069;-3,55862068965517;1801,85612366231;-151,057312722949
"14";"Merc 450SLC";15,2;180;8;42,448275862069;-5,65862068965517;1801,85612366231;-240,198692033294
"15";"Cadillac Fleetwood";10,4;205;8;67,448275862069;-10,4586206896552;4549,26991676575;-705,415933412604
"17";"Chrysler Imperial";14,7;230;8;92,448275862069;-6,15862068965517;8546,6837098692;-569,353864447087
"18";"Fiat 128";32,4;66;4;-71,551724137931;11,5413793103448;5119,64922711058;-825,805588585018
"19";"Honda Civic";30,4;52;4;-85,551724137931;9,54137931034483;7319,09750297265;-816,281450653983
"20";"Toyota Corolla";33,9;65;4;-72,551724137931;13,0413793103448;5263,75267538645;-946,174554102259
"21";"Toyota Corona";21,5;97;4;-40,551724137931;0,641379310344828;1644,44233055886;-26,0090368608799
"22";"Dodge Challenger";15,5;150;8;12,448275862069;-5,35862068965517;154,959571938169;-66,7055885850178
"23";"AMC Javelin";15,2;150;8;12,448275862069;-5,65862068965517;154,959571938169;-70,4400713436385
"25";"Pontiac Firebird";19,2;175;8;37,448275862069;-1,65862068965517;1402,37336504162;-62,112485136742
"26";"Fiat X1-9";27,3;66;4;-71,551724137931;6,44137931034483;5119,64922711058;-460,89179548157
"27";"Porsche 914-2";26;91;4;-46,551724137931;5,14137931034483;2167,06302021403;-239,340071343639
"28";"Lotus Europa";30,4;113;4;-24,551724137931;9,54137931034483;602,787158145066;-234,257312722949
"29";"Ford Pantera L";15,8;264;8;126,448275862069;-5,05862068965517;15989,1664684899;-639,653864447087
"30";"Ferrari Dino";19,7;175;6;37,448275862069;-1,15862068965517;1402,37336504162;-43,3883472057075
"31";"Maserati Bora";15;335;8;197,448275862069;-5,85862068965517;38985,8216409037;-1156,77455410226
"32";"Volvo 142E";21,4;109;4;-28,551724137931;0,541379310344826;815,200951248514;-15,4573127229488
