"data";"uso";"ano";"mes"
"2012-11-13";1;2012;11
"2012-11-20";1;2012;11
"2012-11-21";6;2012;11
"2012-11-22";12;2012;11
"2012-11-23";3;2012;11
"2012-11-26";5;2012;11
"2012-11-27";1;2012;11
"2012-11-30";1;2012;11
"2012-12-03";1;2012;12
"2012-12-04";2;2012;12
"2012-12-05";3;2012;12
"2012-12-10";5;2012;12
"2012-12-12";3;2012;12
"2012-12-14";2;2012;12
"2012-12-17";2;2012;12
"2012-12-18";11;2012;12
"2012-12-19";34;2012;12
"2012-12-20";2;2012;12
"2012-12-21";4;2012;12
"2012-12-22";1;2012;12
"2013-01-07";5;2013;1
"2013-01-08";2;2013;1
"2013-01-11";2;2013;1
"2013-01-14";2;2013;1
"2013-01-15";7;2013;1
"2013-01-16";3;2013;1
"2013-01-17";1;2013;1
"2013-01-22";4;2013;1
"2013-01-23";20;2013;1
"2013-01-24";2;2013;1
"2013-01-25";11;2013;1
"2013-01-29";45;2013;1
"2013-01-30";36;2013;1
"2013-01-31";13;2013;1
"2013-02-04";2;2013;2
"2013-02-05";3;2013;2
"2013-02-06";18;2013;2
"2013-02-15";2;2013;2
"2013-02-18";5;2013;2
"2013-02-20";1;2013;2
"2013-02-21";2;2013;2
"2013-02-26";1;2013;2
"2013-03-04";2;2013;3
"2013-03-05";3;2013;3
"2013-03-12";1;2013;3
"2013-03-19";29;2013;3
"2013-03-20";23;2013;3
"2013-03-21";11;2013;3
"2013-03-22";4;2013;3
"2013-03-25";2;2013;3
"2013-03-28";2;2013;3
"2013-04-02";4;2013;4
"2013-04-03";14;2013;4
"2013-04-04";28;2013;4
"2013-04-05";176;2013;4
"2013-04-06";14;2013;4
"2013-04-07";15;2013;4
"2013-04-08";68;2013;4
"2013-04-09";23;2013;4
"2013-04-10";26;2013;4
"2013-04-11";24;2013;4
"2013-04-12";1917;2013;4
"2013-04-13";1480;2013;4
"2013-04-14";1602;2013;4
"2013-04-15";13514;2013;4
"2013-04-16";13831;2013;4
"2013-04-17";14036;2013;4
"2013-04-18";14038;2013;4
"2013-04-19";2157;2013;4
"2013-04-20";1437;2013;4
"2013-04-21";1741;2013;4
"2013-04-22";3343;2013;4
"2013-04-23";3188;2013;4
"2013-04-24";3228;2013;4
"2013-04-25";3160;2013;4
"2013-04-26";2423;2013;4
"2013-04-27";1387;2013;4
"2013-04-28";1913;2013;4
"2013-04-29";3133;2013;4
"2013-04-30";1936;2013;4
"2013-05-01";2364;2013;5
"2013-05-02";3254;2013;5
"2013-05-03";2333;2013;5
"2013-05-04";1686;2013;5
"2013-05-05";1911;2013;5
"2013-05-06";3350;2013;5
"2013-05-07";3597;2013;5
"2013-05-08";3738;2013;5
"2013-05-09";3554;2013;5
"2013-05-10";2931;2013;5
"2013-05-11";1598;2013;5
"2013-05-12";1837;2013;5
"2013-05-13";5131;2013;5
"2013-05-14";6042;2013;5
"2013-05-15";5151;2013;5
"2013-05-16";4142;2013;5
"2013-05-17";4452;2013;5
"2013-05-18";3263;2013;5
"2013-05-19";3258;2013;5
"2013-05-20";5046;2013;5
"2013-05-21";3912;2013;5
"2013-05-22";4229;2013;5
"2013-05-23";3197;2013;5
"2013-05-24";2916;2013;5
"2013-05-25";1826;2013;5
"2013-05-26";1560;2013;5
"2013-05-27";4032;2013;5
"2013-05-28";3779;2013;5
"2013-05-29";3300;2013;5
"2013-05-30";2186;2013;5
"2013-05-31";2393;2013;5
"2013-06-01";1749;2013;6
"2013-06-02";2164;2013;6
"2013-06-03";4012;2013;6
"2013-06-04";3969;2013;6
"2013-06-05";3757;2013;6
"2013-06-06";3786;2013;6
"2013-06-07";3436;2013;6
"2013-06-08";1899;2013;6
"2013-06-09";2180;2013;6
"2013-06-10";3836;2013;6
"2013-06-11";4242;2013;6
"2013-06-12";4892;2013;6
"2013-06-13";4143;2013;6
"2013-06-14";4535;2013;6
"2013-06-15";2075;2013;6
"2013-06-16";2083;2013;6
"2013-06-17";4629;2013;6
"2013-06-18";4594;2013;6
"2013-06-19";4180;2013;6
"2013-06-20";3624;2013;6
"2013-06-21";3534;2013;6
"2013-06-22";1584;2013;6
"2013-06-23";1802;2013;6
"2013-06-24";3699;2013;6
"2013-06-25";3686;2013;6
"2013-06-26";3197;2013;6
"2013-06-27";3043;2013;6
"2013-06-28";2995;2013;6
"2013-06-29";1443;2013;6
"2013-06-30";1671;2013;6
"2013-07-01";3654;2013;7
"2013-07-02";3057;2013;7
"2013-07-03";3290;2013;7
"2013-07-04";3339;2013;7
"2013-07-05";2830;2013;7
"2013-07-06";1675;2013;7
"2013-07-07";1813;2013;7
"2013-07-08";4447;2013;7
"2013-07-09";3690;2013;7
"2013-07-10";3774;2013;7
"2013-07-11";3496;2013;7
"2013-07-12";2742;2013;7
"2013-07-13";1553;2013;7
"2013-07-14";1921;2013;7
"2013-07-15";4090;2013;7
"2013-07-16";3960;2013;7
"2013-07-17";3857;2013;7
"2013-07-18";3525;2013;7
"2013-07-19";3343;2013;7
"2013-07-20";1690;2013;7
"2013-07-21";2015;2013;7
"2013-07-22";4659;2013;7
"2013-07-23";3890;2013;7
"2013-07-24";3870;2013;7
"2013-07-25";3788;2013;7
"2013-07-26";3340;2013;7
"2013-07-27";1759;2013;7
"2013-07-28";2115;2013;7
"2013-07-29";4247;2013;7
"2013-07-30";4113;2013;7
"2013-07-31";4133;2013;7
"2013-08-01";3541;2013;8
"2013-08-02";3447;2013;8
"2013-08-03";1971;2013;8
"2013-08-04";2404;2013;8
"2013-08-05";4407;2013;8
"2013-08-06";4835;2013;8
"2013-08-07";6012;2013;8
"2013-08-08";4770;2013;8
"2013-08-09";3143;2013;8
"2013-08-10";1742;2013;8
"2013-08-11";1648;2013;8
"2013-08-12";4539;2013;8
"2013-08-13";4864;2013;8
"2013-08-14";4350;2013;8
"2013-08-15";3979;2013;8
"2013-08-16";3207;2013;8
"2013-08-17";1816;2013;8
"2013-08-18";2345;2013;8
"2013-08-19";4865;2013;8
"2013-08-20";4204;2013;8
"2013-08-21";4326;2013;8
"2013-08-22";4085;2013;8
"2013-08-23";3279;2013;8
"2013-08-24";2081;2013;8
"2013-08-25";2100;2013;8
"2013-08-26";4380;2013;8
"2013-08-27";3953;2013;8
"2013-08-28";3842;2013;8
"2013-08-29";3841;2013;8
"2013-08-30";2963;2013;8
"2013-08-31";1452;2013;8
"2013-09-01";1887;2013;9
"2013-09-02";3964;2013;9
"2013-09-03";4193;2013;9
"2013-09-04";4311;2013;9
"2013-09-05";4962;2013;9
"2013-09-06";3423;2013;9
"2013-09-07";1863;2013;9
"2013-09-08";2173;2013;9
"2013-09-09";5028;2013;9
"2013-09-10";4787;2013;9
"2013-09-11";4901;2013;9
"2013-09-12";4847;2013;9
"2013-09-13";3732;2013;9
"2013-09-14";2172;2013;9
"2013-09-15";2372;2013;9
"2013-09-16";35499;2013;9
"2013-09-17";4770;2013;9
"2013-09-18";4699;2013;9
"2013-09-19";5019;2013;9
"2013-09-20";3179;2013;9
"2013-09-21";167;2013;9
"2013-09-22";248;2013;9
"2013-09-23";4384;2013;9
"2013-09-24";4316;2013;9
"2013-09-25";4437;2013;9
"2013-09-26";4380;2013;9
"2013-09-27";3469;2013;9
"2013-09-28";2212;2013;9
"2013-09-29";2482;2013;9
"2013-09-30";5112;2013;9
"2013-10-01";4518;2013;10
"2013-10-02";4695;2013;10
"2013-10-03";4149;2013;10
"2013-10-04";4072;2013;10
"2013-10-05";2097;2013;10
"2013-10-06";2381;2013;10
"2013-10-07";4913;2013;10
"2013-10-08";4782;2013;10
"2013-10-09";4410;2013;10
